Wall time,Step,Value
1648793672.2365074,50,0.00036195298889651895
1648801703.183651,51,3.4266897728230106e-06
1648809714.703193,52,5.499272901943186e-06
1648817703.7141597,53,8.037411021177832e-07
1648825724.0119946,54,4.0704500747779093e-07
1648833764.5925248,55,2.0977687142931245e-07
1648841825.106341,56,1.408445768902311e-07
1648849981.5994763,57,1.0397540251005921e-07
1648858154.0030878,58,9.440729087373256e-08
1648866316.584376,59,8.169111964662079e-08
1648874490.4458532,60,8.009745755543918e-08
1648882656.3431838,61,7.123117029550485e-08
1648890764.8540573,62,6.661610285618735e-08
1648898884.2654655,63,5.20685787819275e-08
1648907006.5872173,64,4.2411070211301194e-08
1648915149.912817,65,3.392644742916673e-08
1648923281.8042533,66,2.1781708881007944e-08
1648931427.0473676,67,1.648024650080515e-08
1648939542.036011,68,1.6427813775976574e-08
1648947674.5877311,69,1.0016010243418805e-08
1648955784.9601696,70,8.18045986505922e-09
