Wall time,Step,Value
1649720139.4547892,15,0.15064674615859985
1649720294.2630546,21,0.13591161370277405
1649720369.273068,26,0.12881843745708466
1649720520.8556201,32,0.13393078744411469
1649720678.1526527,42,0.14091023802757263
1649720748.6920192,47,0.12707969546318054
1649720828.0109212,48,0.13403896987438202
1649720906.8068025,53,0.1332138180732727
1649720988.0822413,58,0.13435471057891846
1649721062.5738814,63,0.13170520961284637
1649721137.6550462,64,0.11917393654584885
1649721225.3981545,69,0.11135108768939972
1649721301.448672,74,0.15293057262897491
1649721375.2266047,79,0.13705642521381378
1649721450.9406338,80,0.1164303570985794
1649721609.605703,90,0.13369220495224
1649721773.7304041,96,0.13670717179775238
1649721855.1380157,101,0.12151598930358887
1649722271.6153214,122,0.1331593096256256
1649722345.7423897,127,0.11673310399055481
1649722427.8874514,128,0.1579662263393402
1649722513.8273106,133,0.13283957540988922
1649722596.3144042,138,0.135830819606781
1649722761.7754452,144,0.11604195088148117
1649723020.844056,159,0.12228871136903763
1649723106.4992418,160,0.13014423847198486
1649723273.7983668,170,0.12973220646381378
1649723355.2206802,175,0.14458085596561432
1649723439.5698106,176,0.12198898941278458
1649723522.9638617,181,0.1298467069864273
1649723692.765095,191,0.13124723732471466
1649723865.8556972,197,0.13932408392429352
1649723947.2974334,202,0.12171883881092072
1649724208.2993634,213,0.1412964016199112
1649724299.5614083,218,0.1224379912018776
1649724380.6911688,223,0.1290530413389206
1649724473.5698678,224,0.155175119638443
1649724555.5132816,229,0.11760799586772919
1649724809.5492706,240,0.12680616974830627
1649724897.9967077,245,0.12604165077209473
1649725070.0315971,255,0.13681761920452118
1649725241.8412917,261,0.1332867294549942
1649725338.0602055,266,0.13932758569717407
1649725421.2125907,271,0.12049786001443863
1649725510.2267287,272,0.14280560612678528
1649725600.2400465,277,0.13897651433944702
1649725767.496559,287,0.13091041147708893
1649725859.97927,288,0.17280243337154388
1649725945.5912771,293,0.1397726684808731
1649726029.0489576,298,0.12229462713003159
1649726200.5752604,304,0.11465759575366974
1649726373.9100819,314,0.1345813125371933
1649726456.4959064,319,0.12444839626550674
1649726626.4855175,325,0.124602310359478
1649726888.9887807,336,0.15003055334091187
1649726976.1469295,341,0.13996700942516327
1649727064.6187463,346,0.13336481153964996
1649727150.3291128,351,0.1188843622803688
1649727235.750772,352,0.12477786839008331
1649727326.8709102,357,0.12394772469997406
1649727495.2435145,367,0.1385328769683838
1649727757.981182,378,0.14076974987983704
1649728185.3873332,399,0.13112781941890717
1649728452.98663,410,0.1250733733177185
1649728623.379587,416,0.128792867064476
1649728710.5086353,421,0.13589751720428467
1649728796.878025,426,0.13002274930477142
1649729403.3455474,453,0.12730731070041656
1649729665.5232344,464,0.1258256882429123
1649729842.7137089,474,0.12460072338581085
1649729922.3865378,479,0.1440945565700531
1649730011.2929835,480,0.12989071011543274
1649730346.2613244,496,0.1347559690475464
1649730429.865379,501,0.127750426530838
1649730513.2571905,506,0.12494969367980957
1649730781.6085134,517,0.12840411067008972
1649730868.3986738,522,0.14498507976531982
1649731120.5324016,533,0.13397379219532013
1649731472.4401493,549,0.1465512067079544
1649731644.5502539,559,0.1296490579843521
1649731822.0525317,565,0.14574970304965973
1649731912.7243252,570,0.12681370973587036
1649731998.321599,575,0.1258798986673355
1649732090.9204788,576,0.10171625763177872
1649732178.1973193,581,0.13688334822654724
1649732266.7802057,586,0.1319202035665512
1649732441.5271306,592,0.1261456310749054
1649732624.0731807,602,0.1358082890510559
1649732887.7373145,613,0.14674247801303864
1649732980.0617027,618,0.13196313381195068
1649733072.300153,623,0.12559086084365845
1649733252.58752,629,0.14209870994091034
1649733343.8786142,634,0.11351079493761063
1649733427.0993557,639,0.13992638885974884
1649733601.8899577,645,0.13542437553405762
1649733696.9960656,650,0.13923349976539612
1649733883.9747705,656,0.1210264340043068
1649733972.0353513,661,0.14982575178146362
1649734145.2435052,671,0.1333349645137787
1649734242.301502,672,0.14171528816223145
1649734332.8219674,677,0.129665344953537
1649734506.6495147,687,0.1275775283575058
1649734864.7763462,703,0.14761318266391754
1649734959.9652314,704,0.14464020729064941
1649735049.3766181,709,0.1257127970457077
1649735140.3235805,714,0.1276913285255432
1649735309.6542616,720,0.14871110022068024
1649735400.7143276,725,0.13608239591121674
1649735575.3752406,735,0.1206161379814148
1649735761.159359,741,0.1419556438922882
